client Name & ID,State,Date,income,expense,tax
Sandwich Shop: 3,NY,2017-01-02,4720.2,3492.948,418.91774999999996
Sandwich Shop: 3,NJ,2017-01-03,3935.4,2912.196,260.72025
Sandwich Shop: 3,NY,2017-01-04,4978.3,3683.942,441.824125
Sandwich Shop: 3,CT,2017-01-05,2252.3,1666.7020000000002,143.02105
Sandwich Shop: 3,NY,2017-01-06,3898.9,2885.186,346.027375
Sandwich Shop: 3,NJ,2017-01-10,4632.9,3428.3459999999995,306.929625
Sandwich Shop: 3,NJ,2017-01-11,3867.1,2861.654,256.195375
Sandwich Shop: 3,NY,2017-01-12,4394.0,3251.56,389.9675
Sandwich Shop: 3,CT,2017-01-14,3551.0,2627.74,225.48850000000002
Sandwich Shop: 3,CT,2017-01-15,3538.1,2618.194,224.66935
Sandwich Shop: 3,CT,2017-01-17,2283.8,1690.0120000000002,145.02130000000002
Sandwich Shop: 3,CT,2017-01-18,3793.9,2807.486,240.91265
Sandwich Shop: 3,NJ,2017-01-19,3755.6,2779.144,248.8085
Sandwich Shop: 3,NY,2017-01-20,4793.6,3547.264,425.432
Sandwich Shop: 3,CT,2017-01-21,3073.5,2274.39,195.16725
Sandwich Shop: 3,NJ,2017-01-23,4997.9,3698.446,331.11087499999996
Sandwich Shop: 3,CT,2017-01-26,4886.0,3615.64,310.261
Sandwich Shop: 3,CT,2017-01-27,3005.6,2224.144,190.8556
Sandwich Shop: 3,NJ,2017-01-28,2175.7,1610.0179999999998,144.14012499999998
Sandwich Shop: 3,CT,2017-01-29,2840.3,2101.822,180.35905000000002
Sandwich Shop: 3,NJ,2017-01-30,2890.9,2139.266,191.52212500000002
Sandwich Shop: 3,NJ,2017-01-31,2513.6,1860.0639999999999,166.526
Sandwich Shop: 3,NJ,2017-02-01,4872.1,3605.3540000000003,322.776625
Sandwich Shop: 3,CT,2017-02-02,4058.4,3003.216,257.7084
Sandwich Shop: 3,CT,2017-02-04,3076.1,2276.314,195.33235
Sandwich Shop: 3,NY,2017-02-05,3123.7,2311.538,277.22837499999997
Sandwich Shop: 3,CT,2017-02-07,2064.1,1527.434,131.07035
