client Name & ID,State,Date,income,expense,tax
Battery Company: 5,NY,2017-01-01,57336.3,36121.869,5088.596625
Battery Company: 5,CT,2017-01-02,39636.4,24970.932,2516.9114
Battery Company: 5,NJ,2017-01-03,31594.0,19904.22,2093.1025
Battery Company: 5,Chicago,2017-01-04,27715.8,17460.953999999998,2840.8695
Battery Company: 5,Boston,2017-01-05,94017.1,59230.773,5876.06875
Battery Company: 5,CT,2017-01-07,43006.5,27094.095,2730.91275
Battery Company: 5,Chicago,2017-01-08,59005.4,37173.402,6048.0535
Battery Company: 5,CT,2017-01-09,46540.7,29320.641,2955.33445
Battery Company: 5,Chicago,2017-01-12,95229.5,59994.585,9761.02375
Battery Company: 5,NJ,2017-01-13,39952.5,25170.075,2646.853125
Battery Company: 5,NY,2017-01-14,25686.9,16182.747000000001,2279.712375
Battery Company: 5,Boston,2017-01-15,46742.9,29448.027000000002,2921.43125
Battery Company: 5,NY,2017-01-16,91316.2,57529.206,8104.312749999999
Battery Company: 5,NJ,2017-01-18,76893.4,48442.842,5094.18775
Battery Company: 5,NJ,2017-01-19,28814.3,18153.009,1908.947375
Battery Company: 5,Boston,2017-01-20,37211.5,23443.245,2325.71875
Battery Company: 5,CT,2017-01-22,46138.5,29067.255,2929.79475
Battery Company: 5,Boston,2017-01-26,95696.8,60288.984000000004,5981.05
Battery Company: 5,Chicago,2017-01-27,98468.2,62034.966,10092.9905
Battery Company: 5,NJ,2017-01-28,57996.0,36537.48,3842.235
Battery Company: 5,Boston,2017-01-29,42478.4,26761.392,2654.9
Battery Company: 5,CT,2017-01-30,35451.7,22334.571,2251.18295
Battery Company: 5,Boston,2017-01-31,40882.8,25756.164,2555.175
Battery Company: 5,Chicago,2017-02-01,91320.8,57532.104,9360.382
Battery Company: 5,NY,2017-02-02,29198.2,18394.866,2591.3402499999997
Battery Company: 5,Boston,2017-02-03,39662.5,24987.375,2478.90625
Battery Company: 5,Boston,2017-02-04,80143.7,50490.530999999995,5008.98125
Battery Company: 5,NJ,2017-02-06,15812.8,9962.064,1047.598
Battery Company: 5,Boston,2017-02-07,66356.0,41804.28,4147.25
Battery Company: 5,NY,2017-02-11,85262.9,53715.62699999999,7567.082374999999
