client Name & ID,State,Date,income,expense,tax
Lagguge Company: 4,CT,2017-01-01,42504.1,13176.270999999999,2699.01035
Lagguge Company: 4,Boston,2017-01-02,74483.4,23089.854,4655.2125
Lagguge Company: 4,Boston,2017-01-06,40641.7,12598.927,2540.10625
Lagguge Company: 4,CT,2017-01-07,64300.0,19933.0,4083.05
Lagguge Company: 4,NJ,2017-01-08,64999.7,20149.907,4306.230125
Lagguge Company: 4,NY,2017-01-09,26092.5,8088.675,2315.709375
Lagguge Company: 4,NJ,2017-01-10,36961.3,11458.003,2448.686125
Lagguge Company: 4,Boston,2017-01-11,25017.2,7755.332,1563.575
Lagguge Company: 4,NJ,2017-01-12,11812.7,3661.9370000000004,782.5913750000001
Lagguge Company: 4,Boston,2017-01-13,29993.2,9297.892,1874.575
Lagguge Company: 4,NJ,2017-01-14,74402.8,23064.868000000002,4929.1855000000005
Lagguge Company: 4,CT,2017-01-15,12782.0,3962.42,811.657
Lagguge Company: 4,NY,2017-01-16,46078.3,14284.273000000001,4089.449125
Lagguge Company: 4,Boston,2017-01-17,73998.9,22939.659,4624.93125
Lagguge Company: 4,Chicago,2017-01-18,35360.6,10961.786,3624.4614999999994
Lagguge Company: 4,CT,2017-01-21,44097.2,13670.132,2800.1722
Lagguge Company: 4,NY,2017-01-22,60980.7,18904.017,5412.037125
Lagguge Company: 4,Boston,2017-01-24,24528.5,7603.835,1533.03125
Lagguge Company: 4,NY,2017-01-25,56524.0,17522.44,5016.505
Lagguge Company: 4,NJ,2017-01-27,72338.4,22424.904,4792.419
Lagguge Company: 4,NJ,2017-01-28,41159.1,12759.321,2726.790375
Lagguge Company: 4,NJ,2017-01-29,25221.2,7818.572,1670.9045
Lagguge Company: 4,Boston,2017-02-01,42877.6,13292.055999999999,2679.85
Lagguge Company: 4,NY,2017-02-03,14170.9,4392.979,1257.667375
Lagguge Company: 4,Chicago,2017-02-04,57433.5,17804.385,5886.933749999999
Lagguge Company: 4,CT,2017-02-05,54509.1,16897.821,3461.32785
Lagguge Company: 4,Boston,2017-02-06,48636.0,15077.16,3039.75
Lagguge Company: 4,Boston,2017-02-07,44305.4,13734.674,2769.0875
Lagguge Company: 4,CT,2017-02-09,57377.7,17787.087,3643.48395
Lagguge Company: 4,Boston,2017-02-11,71929.2,22298.052,4495.575
Lagguge Company: 4,NY,2017-02-12,15732.3,4877.013,1396.2416249999999
Lagguge Company: 4,NY,2017-02-13,44882.3,13913.513,3983.304125
Lagguge Company: 4,Boston,2017-02-14,44898.0,13918.38,2806.125
Lagguge Company: 4,Chicago,2017-02-15,56420.8,17490.448,5783.132
Lagguge Company: 4,NJ,2017-02-18,21812.7,6761.937,1445.0913750000002
Lagguge Company: 4,Chicago,2017-02-19,21786.8,6753.907999999999,2233.147
Lagguge Company: 4,NY,2017-02-20,42698.1,13236.411,3789.4563749999998
Lagguge Company: 4,Boston,2017-02-21,42934.8,13309.788,2683.425
Lagguge Company: 4,Boston,2017-02-24,18254.4,5658.8640000000005,1140.9
Lagguge Company: 4,Boston,2017-02-25,10411.3,3227.5029999999997,650.70625
Lagguge Company: 4,Chicago,2017-03-01,11106.0,3442.86,1138.365
Lagguge Company: 4,Chicago,2017-03-02,68674.8,21289.188000000002,7039.1669999999995
Lagguge Company: 4,Chicago,2017-03-04,68297.9,21172.349,7000.534749999999
Lagguge Company: 4,NJ,2017-03-06,67751.0,21002.81,4488.50375
Lagguge Company: 4,NJ,2017-03-08,51470.9,15955.979000000001,3409.947125
Lagguge Company: 4,CT,2017-03-09,11102.5,3441.775,705.00875
Lagguge Company: 4,Boston,2017-03-11,43098.3,13360.473,2693.64375
Lagguge Company: 4,Boston,2017-03-12,20271.1,6284.040999999999,1266.94375
Lagguge Company: 4,NY,2017-03-13,17353.1,5379.460999999999,1540.087625
Lagguge Company: 4,CT,2017-03-14,23857.7,7395.887000000001,1514.96395
Lagguge Company: 4,Boston,2017-03-15,29259.8,9070.538,1828.7375
Lagguge Company: 4,Chicago,2017-03-16,51840.6,16070.586,5313.661499999999
Lagguge Company: 4,NJ,2017-03-17,10788.1,3344.311,714.711625
Lagguge Company: 4,Boston,2017-03-21,48841.0,15140.71,3052.5625
Lagguge Company: 4,Chicago,2017-03-23,18839.7,5840.307,1931.06925
Lagguge Company: 4,Boston,2017-03-25,29868.4,9259.204,1866.775
Lagguge Company: 4,Boston,2017-03-27,66814.4,20712.463999999996,4175.9
Lagguge Company: 4,Boston,2017-03-28,48582.9,15060.699,3036.43125
Lagguge Company: 4,Boston,2017-04-02,13211.5,4095.565,825.71875
